City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
288,Shiraz,IR,29.6,52.54,68.0,34,20,4.7,few clouds
289,Port-Gentil,GA,-0.72,8.78,78.8,88,40,13.87,scattered clouds
290,Honggang,CN,46.47,124.87,44.22,81,100,10.2,overcast clouds
291,Whitecourt,CA,54.15,-115.69,64.4,42,20,3.53,few clouds
292,Kalmunai,LK,7.42,81.82,79.56,74,100,2.51,overcast clouds
293,Onoda,JP,34.0,131.18,71.6,88,75,4.7,broken clouds
294,Bintulu,MY,3.17,113.03,75.2,94,40,3.36,scattered clouds
295,Spornoye,RU,50.84,37.29,51.8,54,68,6.71,broken clouds
296,Beni Suef,EG,29.07,31.1,73.58,59,0,8.86,clear sky
297,Kiama,AU,-34.68,150.87,64.99,75,96,1.01,overcast clouds
298,Najran,SA,17.49,44.13,73.4,25,0,4.7,clear sky
299,Batagay,RU,67.63,134.63,30.43,85,100,8.88,overcast clouds
300,San Quintin,MX,30.48,-115.95,85.87,32,0,9.24,clear sky
301,Hualmay,PE,-11.1,-77.61,65.71,73,49,13.87,scattered clouds
302,Bonthe,SL,7.53,-12.51,78.24,88,97,7.43,light rain
303,Ilulissat,GL,69.22,-51.1,32.0,96,99,2.24,overcast clouds
304,Miles City,US,46.41,-105.84,66.2,32,1,10.29,clear sky
305,Kozhva,RU,65.11,57.05,30.92,98,1,4.36,clear sky
306,Chake Chake,TZ,-5.25,39.77,75.65,83,3,8.1,clear sky
307,Cidreira,BR,-30.18,-50.21,56.82,89,100,16.69,moderate rain
308,Minchinabad,PK,30.16,73.57,78.28,18,0,2.68,clear sky
309,Saskylakh,RU,71.92,114.08,21.99,96,79,13.47,broken clouds
310,Udachnyy,RU,66.42,112.4,28.4,100,90,6.71,light snow
311,Isiro,CD,2.77,27.62,67.21,99,100,2.86,light rain
312,Shahrud,IR,36.42,54.98,56.59,45,1,5.77,clear sky
313,Dingle,PH,11.0,122.67,76.19,87,95,0.92,moderate rain
